"remedy"	"url"	"yeas"
"Cayenne"	"['http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=CAYENNE_100316']"	"387 YEAS"
"Apple Cider Vinegar"	"['http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=ACV_88956']"	"139 YEAS"
"ACV and Cayenne"	"['http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=ACVC_122642']"	"56 YEAS"
"Pickle Juice Brine"	"['http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=PICKLEJUICE_46847']"	"34 YEAS"
"Salt Water Gargle"	"['http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=SALTWATERGARGLE_88966']"	"25 YEAS"
"Hydrogen Peroxide"	"['http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=H2O2_53285']"	"21 YEAS"
"Tabasco Sauce"	"['http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=TABASCOSAUCE_50884']"	"20 YEAS"
"Cayenne Pepper Recipes"	"['http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=CPR_91029']"	"17 YEAS"
"Iodine Painting"	"['http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=IP_88936']"	"14 YEAS"
"Ginger"	"['http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=GINGER_44249']"	"14 YEAS"
"Garlic"	"['http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=GARLIC_91278']"	"14 YEAS"
"Hot Sauce"	"['http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=HOTSAUCE_65860']"	"14 YEAS"
"Lemon"	"['http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=LEMON_74479']"	"13 YEAS"
"Mouthwash"	"['http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=MOUTHWASH_85940']"	"12 YEAS"
"Vinegar"	"['http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=VINEGAR_34353']"	"10 YEAS"
"Hot Tea"	"['http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=HOTTEA_66305']"	"8 YEAS"
"Cloves"	"['http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=CLOVES_23916']"	"7 YEAS"
"Vicks Vapor Rub"	"['http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=VICKSVAPORRUB_46442']"	"6 YEAS"
"Hand Therapy"	"['http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=HANDTHERAPY_30103']"	"6 YEAS"
